TEST,VARIANT,STATE,SIZE,TIME (In Ms)
721,Normal,Ascending,10,0.0012
722,Normal,Ascending,10,0.0013
723,Normal,Ascending,10,0.0013
724,Normal,Ascending,10,0.0017
725,Normal,Ascending,10,0.0019
726,Normal,Ascending,10,0.0015
727,Normal,Ascending,10,0.0014
728,Normal,Ascending,10,0.0013
729,Normal,Ascending,10,0.0014
730,Normal,Ascending,10,0.0016
731,Normal,Ascending,10,0.0016
732,Normal,Ascending,10,0.0009
733,Normal,Ascending,10,0.0007
734,Normal,Ascending,10,0.0008
735,Normal,Ascending,10,0.0012
736,Normal,Ascending,10,0.0011
737,Normal,Ascending,10,0.0012
738,Normal,Ascending,10,0.0014
739,Normal,Ascending,10,0.0013
740,Normal,Ascending,10,0.0015
741,Normal,Ascending,10,0.001
742,Normal,Ascending,10,0.0013
743,Normal,Ascending,10,0.0011
744,Normal,Ascending,10,0.0013
745,Normal,Ascending,10,0.0008
746,Normal,Ascending,10,0.0008
747,Normal,Ascending,10,0.0012
748,Normal,Ascending,10,0.0017
749,Normal,Ascending,10,0.0017
750,Normal,Ascending,10,0.001
751,Normal,Ascending,10,0.0009
752,Normal,Ascending,10,0.0018
753,Normal,Ascending,10,0.0012
754,Normal,Ascending,10,0.0055
755,Normal,Ascending,10,0.0055
756,Normal,Ascending,10,0.0032
757,Normal,Ascending,10,0.0015
758,Normal,Ascending,10,0.0012
759,Normal,Ascending,10,0.0022
760,Normal,Ascending,10,0.0014
761,Normal,Ascending,10,0.0018
762,Normal,Ascending,10,0.0019
763,Normal,Ascending,10,0.0017
764,Normal,Ascending,10,0.0011
765,Normal,Ascending,10,0.0009
766,Normal,Ascending,10,0.001
767,Normal,Ascending,10,0.0012
768,Normal,Ascending,10,0.0043
769,Normal,Ascending,10,0.0015
770,Normal,Ascending,10,0.0016
771,Normal,Ascending,10,0.0017
772,Normal,Ascending,10,0.0011
773,Normal,Ascending,10,0.0009
